UF, Data, Mortes
PA, 10-mar-20, 0
PB, 10-mar-20, 0
PE, 10-mar-20, 0
PI, 10-mar-20, 0
PR, 10-mar-20, 0
RJ, 10-mar-20, 0
RN, 10-mar-20, 0
RO, 10-mar-20, 0
RR, 10-mar-20, 0
RS, 10-mar-20, 0
SC, 10-mar-20, 0
SE, 10-mar-20, 0
SP, 10-mar-20, 0
TO, 10-mar-20, 0
AC, 11-mar-20, 0
AL, 11-mar-20, 0
AM, 11-mar-20, 0
AP, 11-mar-20, 0
BA, 11-mar-20, 0
CE, 11-mar-20, 0
DF, 11-mar-20, 0
ES, 11-mar-20, 0
GO, 11-mar-20, 0
MA, 11-mar-20, 0
MG, 11-mar-20, 0
MS, 11-mar-20, 0
MT, 11-mar-20, 0
PA, 11-mar-20, 0
PB, 11-mar-20, 0
PE, 11-mar-20, 0
PI, 11-mar-20, 0
PR, 11-mar-20, 0
RJ, 11-mar-20, 0
RN, 11-mar-20, 0
RO, 11-mar-20, 0
RR, 11-mar-20, 0
RS, 11-mar-20, 0
SC, 11-mar-20, 0
SE, 11-mar-20, 0
SP, 11-mar-20, 0
TO, 11-mar-20, 0
AC, 12-mar-20, 0
AL, 12-mar-20, 0
AM, 12-mar-20, 0
AP, 12-mar-20, 0
BA, 12-mar-20, 0
CE, 12-mar-20, 0
DF, 12-mar-20, 0
ES, 12-mar-20, 0
GO, 12-mar-20, 0
MA, 12-mar-20, 0
MG, 12-mar-20, 0
MS, 12-mar-20, 0
MT, 12-mar-20, 0
PA, 12-mar-20, 0
PB, 12-mar-20, 0
PE, 12-mar-20, 0
PI, 12-mar-20, 0
PR, 12-mar-20, 0
RJ, 12-mar-20, 0
RN, 12-mar-20, 0
RO, 12-mar-20, 0
RR, 12-mar-20, 0
RS, 12-mar-20, 0
SC, 12-mar-20, 0
SE, 12-mar-20, 0
SP, 12-mar-20, 0
TO, 12-mar-20, 0
AC, 13-mar-20, 0
AL, 13-mar-20, 0
AM, 13-mar-20, 0
AP, 13-mar-20, 0
BA, 13-mar-20, 0
CE, 13-mar-20, 0
DF, 13-mar-20, 0
ES, 13-mar-20, 0
GO, 13-mar-20, 0
MA, 13-mar-20, 0
MG, 13-mar-20, 0
MS, 13-mar-20, 0
MT, 13-mar-20, 0
PA, 13-mar-20, 0
PB, 13-mar-20, 0
PE, 13-mar-20, 0
PI, 13-mar-20, 0
PR, 13-mar-20, 0
RJ, 13-mar-20, 0
RN, 13-mar-20, 0
RO, 13-mar-20, 0
RR, 13-mar-20, 0
RS, 13-mar-20, 0
SC, 13-mar-20, 0
SE, 13-mar-20, 0
SP, 13-mar-20, 0
TO, 13-mar-20, 0
AC, 14-mar-20, 0
AL, 14-mar-20, 0
AM, 14-mar-20, 0
AP, 14-mar-20, 0
BA, 14-mar-20, 0
CE, 14-mar-20, 0
DF, 14-mar-20, 0
ES, 14-mar-20, 0
GO, 14-mar-20, 0
MA, 14-mar-20, 0
MG, 14-mar-20, 0
MS, 14-mar-20, 0
MT, 14-mar-20, 0
PA, 14-mar-20, 0
PB, 14-mar-20, 0
PE, 14-mar-20, 0
PI, 14-mar-20, 0
PR, 14-mar-20, 0
RJ, 14-mar-20, 0
RN, 14-mar-20, 0
RO, 14-mar-20, 0
RR, 14-mar-20, 0
RS, 14-mar-20, 0
SC, 14-mar-20, 0
SE, 14-mar-20, 0
SP, 14-mar-20, 0
TO, 14-mar-20, 0
AC, 15-mar-20, 0
AL, 15-mar-20, 0
AM, 15-mar-20, 0
AP, 15-mar-20, 0
BA, 15-mar-20, 0
CE, 15-mar-20, 0
DF, 15-mar-20, 0
ES, 15-mar-20, 0
GO, 15-mar-20, 0
MA, 15-mar-20, 0
MG, 15-mar-20, 0
MS, 15-mar-20, 0
MT, 15-mar-20, 0
PA, 15-mar-20, 0
